x_cyl,y_cyl,x_i,y_i,x_o,y_o,slice
927.5,482.5,986,674,946,792,1
927.5,482.5,1072,622,1084,728,1
927.5,482.5,1121,506,1217,406,1
927.5,482.5,1101,409,1133,276,1
927.5,482.5,1037,294,1004,209,1
927.5,482.5,848,332,827,224,1
927.5,482.5,784,403,715,317,1
927.5,482.5,735,428,644,500,1
927.5,482.5,740,542,690,639,1
927.5,482.5,800,631,808,736,1
927.5,482.5,1012,670,1150,683,2
927.5,482.5,1091,604,1227,574,2
927.5,482.5,1106,411,1227,396,2
927.5,482.5,1040,336,1130,259,2
927.5,482.5,939,303,993,205,2
927.5,482.5,892,274,768,251,2
927.5,482.5,735,434,643,492,2
927.5,482.5,794,629,657,661,2
927.5,482.5,882,677,789,757,2
927.5,482.5,1020,677,1027,804,3
927.5,482.5,1154,445,1225,342,3
927.5,482.5,1012,281,1111,172,3
927.5,482.5,1001,287,933,194,3
927.5,482.5,909,277,948,138,3
927.5,482.5,769,355,605,386,3
927.5,482.5,729,461,607,561,3
927.5,482.5,748,574,696,719,3
927.5,482.5,810,653,849,802,3
927.5,482.5,908,700,860,818,3
927.5,482.5,916,684,1009,801,3
927.5,482.5,1090,688,1228,651,3
927.5,482.5,1167,462,1323,506,4
927.5,482.5,1119,355,1261,301,4
927.5,482.5,858,284,698,225,4
927.5,482.5,734,582,600,585,4
927.5,482.5,811,671,696,738,4
927.5,482.5,976,738,1110,788,4
927.5,482.5,1084,688,1116,860,5
927.5,482.5,1156,586,1269,707,5
927.5,482.5,1168,417,1239,248,5
927.5,482.5,1095,312,1069,138,5
927.5,482.5,980,267,863,142,5
927.5,482.5,748,351,681,225,5
927.5,482.5,709,467,584,401,5
927.5,482.5,743,654,747,796,5
927.5,482.5,835,731,909,851,5
927.5,482.5,1008,747,1145,823,6
927.5,482.5,1151,680,1183,818,6
927.5,482.5,1126,668,1320,647,6
927.5,482.5,1202,549,1316,639,6
927.5,482.5,1179,547,1333,450,6
927.5,482.5,1183,409,1311,409,6
927.5,482.5,1202,323,1170,143,6
927.5,482.5,1073,222,1000,84,6
927.5,482.5,917,200,789,109,6
927.5,482.5,809,235,726,64,6
927.5,482.5,685,367,560,226,6
927.5,482.5,659,528,478,440,6
927.5,482.5,736,694,762,900,6
927.5,482.5,871,761,981,900,6
927.5,482.5,1034,774,1004,922,7
927.5,482.5,1118,804,1325,781,7
927.5,482.5,1235,661,1407,572,7
927.5,482.5,1262,478,1372,350,7
927.5,482.5,1098,228,1202,108,7
927.5,482.5,932,188,974,5,7
927.5,482.5,697,288,492,288,7
927.5,482.5,635,440,467,528,7
927.5,482.5,728,718,555,795,7
927.5,482.5,885,791,770,932,7
927.5,482.5,1132,612,1242,717,8
927.5,482.5,1165,490,1311,548,8
927.5,482.5,1131,388,1272,367,8
927.5,482.5,1001,250,917,170,8
927.5,482.5,884,284,745,202,8
927.5,482.5,735,428,612,360,8
927.5,482.5,728,554,601,545,8
927.5,482.5,804,711,882,814,8
927.5,482.5,1168,574,1302,485,9
927.5,482.5,1007,264,1100,151,9
927.5,482.5,880,267,905,124,9
927.5,482.5,784,330,727,202,9
927.5,482.5,711,352,591,442,9
927.5,482.5,681,494,598,612,9
927.5,482.5,944,740,858,880,9
927.5,482.5,1064,698,1057,855,9
927.5,482.5,834,741,932,915,10
927.5,482.5,974,747,1140,841,10
927.5,482.5,1182,580,1301,684,10
927.5,482.5,1185,442,1340,471,10
927.5,482.5,1117,325,1258,271,10
927.5,482.5,1097,251,1018,105,10
927.5,482.5,952,205,811,142,10
927.5,482.5,711,342,618,227,10
927.5,482.5,677,474,522,400,10
927.5,482.5,712,618,538,630,10
927.5,482.5,805,710,667,812,10
