x,y,z,gaussian_curvature
3.251299999999999812e+01,1.111200000000000045e+02,8.151900000000000546e+01,1.954747450249750412e-03
1.776999999999999886e+02,1.779399999999999977e+02,7.899299999999999500e+01,3.278421965034964813e-04
2.244699999999999989e+02,5.955700000000000216e+01,7.885599999999999454e+01,5.742664348551447875e-03
1.988000000000000114e+02,2.256699999999999875e+02,7.853100000000000591e+01,1.033849704995004962e-03
7.735099999999999909e+01,1.995399999999999920e+02,8.642300000000000182e+01,4.256143935064934979e-04
2.543700000000000045e+02,2.137199999999999989e+02,8.148699999999999477e+01,4.237086156963037337e-03
2.134099999999999966e+02,1.610500000000000114e+02,8.070000000000000284e+01,4.181219673326672863e-04
2.656399999999999864e+02,3.414900000000000091e+01,7.708199999999999363e+01,4.455757562717281919e-03
1.068299999999999983e+02,6.742400000000000659e+01,8.044799999999999329e+01,5.201243912087912284e-04
5.708599999999999675e+00,1.517800000000000011e+02,8.156100000000000705e+01,1.586057610659340677e-03
5.928199999999999648e+01,2.128100000000000023e+02,8.248900000000000432e+01,3.852531537462537442e-04
1.383000000000000007e+01,1.605799999999999983e+01,7.393899999999999295e+01,1.279395868521478706e-02
1.577500000000000000e+02,2.046100000000000136e+02,7.839499999999999602e+01,3.077712122877122891e-04
2.652699999999999818e+02,1.368199999999999932e+02,7.963800000000000523e+01,4.268618756243756050e-03
1.655699999999999861e+01,1.136700000000000088e+01,7.397499999999999432e+01,4.276221182697302614e-02
1.187300000000000040e+02,5.050399999999999778e+00,8.623799999999999955e+01,9.688438514365634024e-03
7.504999999999999716e+01,2.503200000000000003e+01,7.850400000000000489e+01,4.549259520879121027e-03
2.339499999999999886e+02,1.521899999999999977e+02,7.837999999999999545e+01,4.065235832167832415e-04
1.666299999999999955e+02,2.428700000000000045e+02,8.175400000000000489e+01,1.237400095644355762e-02
1.741299999999999955e+02,1.595099999999999909e+02,8.040999999999999659e+01,7.121259064935064279e-04
2.260399999999999920e+02,1.937199999999999989e+02,7.868899999999999295e+01,3.187534273726273749e-04
5.361800000000000210e+01,2.176500000000000057e+02,8.349500000000000455e+01,6.065863148851148318e-04
2.104000000000000057e+02,2.569600000000000151e+01,7.744899999999999807e+01,2.242782741898102089e-02
1.329699999999999989e+02,2.061399999999999864e+02,8.164199999999999591e+01,1.044603436563435752e-04
2.232199999999999989e+02,1.152800000000000011e+02,7.793300000000000693e+01,1.541875645354645434e-03
1.923799999999999955e+02,2.375099999999999909e+02,7.930200000000000671e+01,4.369273229570428546e-03
1.311800000000000068e+02,1.758199999999999932e+02,7.836400000000000432e+01,3.180689273726273309e-04
1.692700000000000102e+02,2.504600000000000080e+02,8.237900000000000489e+01,4.038716728241758050e-03
1.130600000000000023e+02,2.217800000000000011e+02,8.472700000000000387e+01,4.841970849150846744e-05
9.266299999999999315e+00,1.884300000000000068e+02,8.370199999999999818e+01,6.455297686013986534e-03
1.438600000000000136e+02,1.360999999999999943e+02,7.470999999999999375e+01,2.322027327672327530e-04
2.543400000000000034e+02,1.782100000000000080e+02,8.250600000000000023e+01,6.207106174725275476e-03
1.119300000000000068e+02,2.474499999999999886e+02,8.393600000000000705e+01,5.265230678321677123e-04
4.481799999999999784e+01,2.198700000000000045e+02,8.401900000000000546e+01,5.174293407922078009e-03
