x,y,z,gaussian_curvature
2.152899999999999920e+02,9.204300000000000637e+01,6.250699999999999790e+01,5.736521252747251798e-04
1.846399999999999864e+02,1.390699999999999932e+02,6.887300000000000466e+01,4.390583574525474706e-04
1.120400000000000063e+02,6.439600000000000080e+01,4.240899999999999892e+01,1.472388608191808152e-03
1.894399999999999977e+02,2.049900000000000091e+02,6.701300000000000523e+01,8.863872179820178349e-04
1.828799999999999955e+02,4.148700000000000188e+01,5.256700000000000017e+01,5.034639648351648886e-04
2.204099999999999966e+02,5.001299999999999812e+01,5.554800000000000182e+01,-2.946973626373642911e-06
2.500399999999999920e+02,9.360099999999999909e+01,6.400700000000000500e+01,9.561422975024974581e-04
9.090200000000000102e+01,2.173000000000000114e+02,5.495700000000000074e+01,3.816340912087911696e-04
1.792899999999999920e+02,1.937500000000000000e+02,6.909199999999999875e+01,8.654985028171828824e-04
1.345099999999999909e+02,8.336199999999999477e+01,5.071300000000000097e+01,-9.913031398601400901e-05
1.691500000000000057e+02,1.288299999999999912e+01,5.856300000000000239e+01,1.180799964515484579e-02
2.260900000000000034e+02,1.642599999999999909e+02,6.394899999999999807e+01,3.348459279320678919e-04
1.253599999999999994e+02,1.973499999999999943e+02,6.388100000000000023e+01,-4.089076577422577608e-04
4.534000000000000341e+01,8.164199999999999591e+01,4.974900000000000233e+01,-6.359924245754245873e-05
1.557800000000000011e+02,2.563399999999999750e+02,5.734599999999999653e+01,1.002600406490509674e-02
2.478700000000000045e+02,1.244000000000000057e+02,6.518999999999999773e+01,6.189887770229769975e-04
2.534199999999999875e+02,1.901100000000000136e+02,5.869899999999999807e+01,3.171864015984016236e-04
2.512500000000000000e+02,3.929399999999999693e+01,5.687500000000000000e+01,7.633101519450550057e-03
1.967700000000000102e+02,1.825199999999999889e+01,5.689399999999999835e+01,3.914517995004996101e-03
1.040400000000000063e+02,1.580999999999999943e+02,7.161799999999999500e+01,-1.659135347652347832e-03
1.208799999999999955e+02,1.482800000000000011e+02,6.958199999999999363e+01,-2.351001638361637988e-03
3.562800000000000011e+01,1.656699999999999875e+02,5.345000000000000284e+01,4.785566160839161321e-04
8.188100000000000023e+01,2.982100000000000151e+01,4.767799999999999727e+01,8.174315740539461056e-03
2.613400000000000034e+01,6.813700000000000045e+01,5.577000000000000313e+01,3.384869796203796456e-04
2.148600000000000136e+02,2.041899999999999977e+02,6.091499999999999915e+01,-6.098957142857146154e-05
2.242500000000000000e+02,7.531399999999999295e+01,5.965299999999999869e+01,5.310104868131868211e-04
1.645699999999999932e+02,2.528999999999999915e+01,5.343399999999999750e+01,5.020885844155844289e-04
1.621899999999999977e+02,1.866500000000000057e+02,7.248900000000000432e+01,-3.043848951048948795e-05
4.110699999999999932e+01,1.981200000000000045e+02,5.119500000000000028e+01,-1.146134698301698408e-04
1.061099999999999994e+02,2.815299999999999869e+01,4.771000000000000085e+01,3.352909938061938294e-04
1.469499999999999886e+02,6.816700000000000159e+01,4.650399999999999778e+01,-2.237569401198801682e-04
9.521500000000000341e+01,1.229800000000000004e+01,4.935799999999999699e+01,1.457831914055944186e-02
6.513700000000000045e+01,1.380000000000000000e+02,6.009100000000000108e+01,4.273677616383615946e-04
7.709900000000000375e+01,3.751899999999999835e+01,4.677400000000000091e+01,-5.205492995005001717e-05
2.556699999999999875e+02,1.078199999999999932e+02,6.310699999999999932e+01,6.959807804195804280e-04
7.886999999999999567e+00,1.105300000000000011e+02,6.027799999999999869e+01,5.383611504685315192e-03
2.557800000000000011e+02,4.740400000000000347e+01,5.718800000000000239e+01,6.939359399500499501e-03
1.859300000000000068e+02,1.921399999999999864e+02,6.874299999999999500e+01,1.091571368631368976e-04
2.300900000000000034e+02,2.111599999999999966e+02,5.816799999999999926e+01,2.837736157642357384e-04
1.438600000000000136e+02,2.280099999999999909e+02,6.386599999999999966e+01,-4.075020375524475501e-04
1.292400000000000091e+02,1.122199999999999989e+02,6.085499999999999687e+01,8.433889301698300860e-04
1.014000000000000057e+02,2.426899999999999977e+02,5.001400000000000290e+01,2.454221475524476052e-04
2.759999999999999787e+00,7.582999999999999829e+01,6.271999999999999886e+01,1.483714866533466549e-02
2.172899999999999920e+02,1.920200000000000102e+02,6.317799999999999727e+01,5.863591694685314944e-04
1.853799999999999955e+02,3.067800000000000082e+01,5.421000000000000085e+01,8.749557389510489655e-04
