x,y,z,mean_curvature
2.152899999999999920e+02,9.204300000000000637e+01,6.250699999999999790e+01,-1.691894022377622361e-02
1.846399999999999864e+02,1.390699999999999932e+02,6.887300000000000466e+01,-2.331942687312686842e-03
1.120400000000000063e+02,6.439600000000000080e+01,4.240899999999999892e+01,-2.292064253446553235e-02
1.894399999999999977e+02,2.049900000000000091e+02,6.701300000000000523e+01,-7.200133793206791970e-03
1.828799999999999955e+02,4.148700000000000188e+01,5.256700000000000017e+01,-8.871911441358642028e-03
2.204099999999999966e+02,5.001299999999999812e+01,5.554800000000000182e+01,-3.734551182817183283e-03
2.500399999999999920e+02,9.360099999999999909e+01,6.400700000000000500e+01,-7.917361254645354646e-03
9.090200000000000102e+01,2.173000000000000114e+02,5.495700000000000074e+01,2.980302895704295667e-03
1.792899999999999920e+02,1.937500000000000000e+02,6.909199999999999875e+01,1.054503363236763101e-02
1.345099999999999909e+02,8.336199999999999477e+01,5.071300000000000097e+01,-2.839677965734266080e-03
1.691500000000000057e+02,1.288299999999999912e+01,5.856300000000000239e+01,9.679856268731270447e-03
2.260900000000000034e+02,1.642599999999999909e+02,6.394899999999999807e+01,-6.398967983016982247e-03
1.253599999999999994e+02,1.973499999999999943e+02,6.388100000000000023e+01,-2.771303664435564862e-02
4.534000000000000341e+01,8.164199999999999591e+01,4.974900000000000233e+01,3.531670129870129291e-04
1.557800000000000011e+02,2.563399999999999750e+02,5.734599999999999653e+01,-8.282198106893106510e-03
2.478700000000000045e+02,1.244000000000000057e+02,6.518999999999999773e+01,-2.335870713286713422e-03
2.534199999999999875e+02,1.901100000000000136e+02,5.869899999999999807e+01,-7.562234785214784830e-03
2.512500000000000000e+02,3.929399999999999693e+01,5.687500000000000000e+01,-8.052525412587413500e-03
1.967700000000000102e+02,1.825199999999999889e+01,5.689399999999999835e+01,-1.360428885114885016e-02
1.040400000000000063e+02,1.580999999999999943e+02,7.161799999999999500e+01,4.283492057942058645e-02
1.208799999999999955e+02,1.482800000000000011e+02,6.958199999999999363e+01,-5.016165724275725019e-02
3.562800000000000011e+01,1.656699999999999875e+02,5.345000000000000284e+01,-4.117195142857144226e-03
8.188100000000000023e+01,2.982100000000000151e+01,4.767799999999999727e+01,-2.292771876123876010e-03
2.613400000000000034e+01,6.813700000000000045e+01,5.577000000000000313e+01,-6.937677662337664048e-04
2.148600000000000136e+02,2.041899999999999977e+02,6.091499999999999915e+01,8.098068361638361551e-03
2.242500000000000000e+02,7.531399999999999295e+01,5.965299999999999869e+01,2.797477203796203907e-03
1.645699999999999932e+02,2.528999999999999915e+01,5.343399999999999750e+01,2.347384637362636729e-03
1.621899999999999977e+02,1.866500000000000057e+02,7.248900000000000432e+01,1.509372109890109743e-03
4.110699999999999932e+01,1.981200000000000045e+02,5.119500000000000028e+01,-9.988601002997001682e-03
1.061099999999999994e+02,2.815299999999999869e+01,4.771000000000000085e+01,-6.191161711288710803e-03
1.469499999999999886e+02,6.816700000000000159e+01,4.650399999999999778e+01,3.073236223776223703e-03
9.521500000000000341e+01,1.229800000000000004e+01,4.935799999999999699e+01,-2.544116683316679085e-04
6.513700000000000045e+01,1.380000000000000000e+02,6.009100000000000108e+01,8.182761118881113488e-04
7.709900000000000375e+01,3.751899999999999835e+01,4.677400000000000091e+01,-3.295404875124872675e-04
2.556699999999999875e+02,1.078199999999999932e+02,6.310699999999999932e+01,-1.905495289710289891e-02
7.886999999999999567e+00,1.105300000000000011e+02,6.027799999999999869e+01,-1.167681546153846207e-02
2.557800000000000011e+02,4.740400000000000347e+01,5.718800000000000239e+01,-3.834569530469529434e-04
1.859300000000000068e+02,1.921399999999999864e+02,6.874299999999999500e+01,6.283797693306693126e-03
2.300900000000000034e+02,2.111599999999999966e+02,5.816799999999999926e+01,-5.371766333666223137e-05
1.438600000000000136e+02,2.280099999999999909e+02,6.386599999999999966e+01,8.552113574425574891e-03
1.292400000000000091e+02,1.122199999999999989e+02,6.085499999999999687e+01,-6.834495785214786748e-03
1.014000000000000057e+02,2.426899999999999977e+02,5.001400000000000290e+01,7.038805944055942336e-03
2.759999999999999787e+00,7.582999999999999829e+01,6.271999999999999886e+01,-1.147431265734266594e-03
2.172899999999999920e+02,1.920200000000000102e+02,6.317799999999999727e+01,1.053599298901099039e-02
1.853799999999999955e+02,3.067800000000000082e+01,5.421000000000000085e+01,-1.923286058941058724e-02
1.650500000000000114e+02,7.929999999999999716e+01,5.367399999999999949e+01,3.214281878121877118e-03
2.575400000000000205e+02,9.737000000000000455e+01,6.295100000000000051e+01,2.690012367632401390e-05
5.499000000000000199e+01,1.189800000000000040e+02,5.498799999999999955e+01,1.694098338061937820e-03
1.003700000000000045e+02,1.169599999999999937e+02,6.145700000000000074e+01,-2.966029333566433737e-02
2.288199999999999932e+02,2.340200000000000102e+02,5.909199999999999875e+01,5.237675914085912661e-03
4.413700000000000045e+01,4.687299999999999756e+01,4.991499999999999915e+01,-8.291491514585414002e-03
2.309600000000000080e+02,1.820699999999999932e+02,6.193599999999999994e+01,1.540579365534465277e-02
1.568000000000000114e+02,2.137199999999999989e+01,5.363700000000000045e+01,-1.068162245654345581e-02
1.656999999999999886e+02,2.117700000000000102e+02,7.061299999999999955e+01,3.298912610889110763e-03
2.173000000000000114e+02,6.180799999999999983e+01,5.699000000000000199e+01,-1.473561269730269121e-03
