x,y,z,gaussian_curvature
1.476500000000000057e+02,7.961400000000000432e+01,7.928400000000000603e+01,7.265896804895104763e-04
1.744499999999999886e+02,2.380600000000000023e+02,7.812800000000000011e+01,6.475432825174824887e-04
2.201399999999999864e+02,1.124200000000000017e+02,6.757099999999999795e+01,-1.088218390609393472e-05
2.034300000000000068e+02,3.629999999999999893e+00,6.998999999999999488e+01,1.922220988841159134e-02
1.255199999999999960e+02,1.247899999999999920e+01,6.827100000000000080e+01,7.875941268331668535e-03
9.129200000000000159e+01,1.785600000000000023e+02,7.770799999999999841e+01,-2.185044544555444926e-04
1.350000000000000000e+02,2.404300000000000068e+02,7.715300000000000580e+01,4.441789841158840413e-04
2.309000000000000057e+02,1.888700000000000045e+01,7.067600000000000193e+01,1.489155244555444724e-03
1.171599999999999966e+02,1.079699999999999989e+02,8.039300000000000068e+01,2.817209730269732302e-05
2.036999999999999886e+02,1.669799999999999898e+02,7.351099999999999568e+01,5.117297272727273309e-04
1.217900000000000063e+02,1.438799999999999955e+02,8.208199999999999363e+01,-5.107156363636360807e-05
1.991200000000000045e+02,1.180600000000000023e+02,7.223600000000000421e+01,2.454544339660339369e-04
1.690800000000000125e+02,1.290500000000000114e+02,7.693500000000000227e+01,4.472574165334664681e-04
2.182299999999999898e+02,2.022500000000000000e+02,7.280100000000000193e+01,3.315144075924076716e-04
1.520600000000000023e+02,1.535000000000000000e+02,8.122400000000000375e+01,9.786706219780218815e-04
7.819100000000000250e+01,1.440200000000000102e+02,7.306999999999999318e+01,-6.383894473526472791e-04
2.434699999999999989e+02,1.925399999999999920e+02,6.646599999999999397e+01,2.619673941958042263e-03
1.435200000000000102e+02,2.522299999999999898e+02,7.846399999999999864e+01,-1.550558411988012069e-04
1.221400000000000006e+02,1.636399999999999864e+02,8.210399999999999920e+01,-1.075765508331668219e-03
4.045000000000000284e+01,1.456500000000000057e+02,6.674899999999999523e+01,1.286798869130868764e-05
2.196800000000000068e+02,2.105200000000000102e+02,7.093099999999999739e+01,3.475110519480519261e-04
5.602499999999999858e+01,8.750700000000000500e+01,6.746500000000000341e+01,1.048932906093906237e-04
2.104199999999999875e+02,2.217199999999999989e+02,7.335999999999999943e+01,-4.406757778221778873e-04
8.307299999999999329e+01,1.205900000000000034e+02,7.315699999999999648e+01,3.136006209390608903e-04
2.516800000000000068e+02,1.694199999999999875e+02,6.520300000000000296e+01,8.285378171828172765e-05
5.185000000000000142e+01,1.668000000000000114e+02,6.700300000000000011e+01,-9.720811388611418427e-06
2.280800000000000125e+02,1.172699999999999960e+02,6.497499999999999432e+01,-8.745858971028973013e-05
1.591599999999999966e+02,2.416299999999999955e+02,7.721200000000000330e+01,4.782590974025974109e-04
