x,y,z,mean_curvature
1.476500000000000057e+02,7.961400000000000432e+01,7.928400000000000603e+01,-1.228453864935065074e-02
1.744499999999999886e+02,2.380600000000000023e+02,7.812800000000000011e+01,-1.806459275524475647e-02
2.201399999999999864e+02,1.124200000000000017e+02,6.757099999999999795e+01,7.055703696303725428e-05
2.034300000000000068e+02,3.629999999999999893e+00,6.998999999999999488e+01,-6.949415484515484610e-03
1.255199999999999960e+02,1.247899999999999920e+01,6.827100000000000080e+01,4.822566633366632931e-03
9.129200000000000159e+01,1.785600000000000023e+02,7.770799999999999841e+01,9.052042923076921918e-03
1.350000000000000000e+02,2.404300000000000068e+02,7.715300000000000580e+01,-3.937162997002996781e-03
2.309000000000000057e+02,1.888700000000000045e+01,7.067600000000000193e+01,6.883188811188835766e-05
1.171599999999999966e+02,1.079699999999999989e+02,8.039300000000000068e+01,-5.521035188811187697e-03
2.036999999999999886e+02,1.669799999999999898e+02,7.351099999999999568e+01,6.874607870129870527e-03
1.217900000000000063e+02,1.438799999999999955e+02,8.208199999999999363e+01,1.257906953046952813e-03
1.991200000000000045e+02,1.180600000000000023e+02,7.223600000000000421e+01,2.788565596403596008e-03
1.690800000000000125e+02,1.290500000000000114e+02,7.693500000000000227e+01,-2.566586367632367298e-03
2.182299999999999898e+02,2.022500000000000000e+02,7.280100000000000193e+01,-3.374619031968031663e-03
1.520600000000000023e+02,1.535000000000000000e+02,8.122400000000000375e+01,-1.342899287312687359e-02
7.819100000000000250e+01,1.440200000000000102e+02,7.306999999999999318e+01,4.221244326663337737e-03
2.434699999999999989e+02,1.925399999999999920e+02,6.646599999999999397e+01,-3.219710230769230307e-03
1.435200000000000102e+02,2.522299999999999898e+02,7.846399999999999864e+01,-1.505671975024975347e-03
1.221400000000000006e+02,1.636399999999999864e+02,8.210399999999999920e+01,-4.989911520479520940e-02
4.045000000000000284e+01,1.456500000000000057e+02,6.674899999999999523e+01,6.138288431568431590e-03
2.196800000000000068e+02,2.105200000000000102e+02,7.093099999999999739e+01,7.374033984015985338e-03
5.602499999999999858e+01,8.750700000000000500e+01,6.746500000000000341e+01,-3.791271788911088937e-03
2.104199999999999875e+02,2.217199999999999989e+02,7.335999999999999943e+01,-1.232030831068931138e-02
8.307299999999999329e+01,1.205900000000000034e+02,7.315699999999999648e+01,-1.315566150849150663e-02
2.516800000000000068e+02,1.694199999999999875e+02,6.520300000000000296e+01,5.015520759240753475e-04
5.185000000000000142e+01,1.668000000000000114e+02,6.700300000000000011e+01,-1.654011250849150849e-02
2.280800000000000125e+02,1.172699999999999960e+02,6.497499999999999432e+01,-8.712805162837160972e-03
1.591599999999999966e+02,2.416299999999999955e+02,7.721200000000000330e+01,3.735752066933067765e-03
1.573499999999999943e+02,1.732299999999999898e+02,8.146599999999999397e+01,-2.291131064635365273e-03
2.851000000000000156e+01,1.727500000000000000e+02,6.892499999999999716e+01,-5.610492907092885524e-04
7.679399999999999693e+01,2.223600000000000136e+02,6.832500000000000284e+01,1.851265250749249865e-03
5.063199999999999790e+01,1.827800000000000011e+02,6.968999999999999773e+01,-5.927815761238760736e-03
2.319099999999999966e+02,2.165800000000000125e+02,6.729099999999999682e+01,-8.972267808191811134e-03
1.510300000000000011e+02,2.006399999999999864e+02,7.863599999999999568e+01,-5.491471378621372258e-04
1.514399999999999977e+02,1.917599999999999909e+02,7.986499999999999488e+01,-1.469387337462537552e-02
8.396099999999999852e+01,2.551999999999999957e+01,6.526999999999999602e+01,-8.854613946053945146e-04
6.828400000000000603e+01,2.284900000000000091e+02,6.599800000000000466e+01,-1.584131859140859230e-02
1.835999999999999943e+02,1.876800000000000068e+02,8.100700000000000500e+01,1.740136562137862414e-02
2.583299999999999841e+02,2.090299999999999869e+01,6.796599999999999397e+01,4.756375214785214106e-03
2.288500000000000156e+01,7.437699999999999534e+01,6.424399999999999977e+01,-3.313501356243756663e-03
2.666499999999999915e+01,1.253400000000000034e+02,6.473999999999999488e+01,-3.219470374625374443e-03
2.356999999999999886e+02,1.707899999999999920e+02,6.509099999999999397e+01,-1.422807919680319465e-02
7.567300000000000182e+01,1.837800000000000011e+02,7.069199999999999307e+01,-4.270076483516484916e-03
1.625000000000000000e+02,1.882199999999999918e+01,7.582899999999999352e+01,-7.864273086913085853e-03
8.451800000000000423e+00,1.000999999999999943e+02,6.341199999999999903e+01,-6.051291885114887074e-03
2.298700000000000045e+02,1.868400000000000034e+02,6.649800000000000466e+01,5.409047167832168462e-03
4.148499999999999943e+01,6.024700000000000166e+00,6.167099999999999937e+01,-1.097559973026972918e-03
2.406999999999999886e+02,1.039399999999999977e+02,6.613800000000000523e+01,1.021154634365633836e-03
1.397199999999999989e+02,7.394100000000000250e+01,7.857999999999999829e+01,-9.134691488511490279e-03
2.315600000000000023e+02,1.347199999999999989e+02,6.344299999999999784e+01,-1.111884135464535558e-02
6.111699999999999733e+01,7.480700000000000216e+01,6.848799999999999955e+01,-9.846371147852146788e-03
1.314499999999999886e+02,1.484799999999999898e+02,8.129200000000000159e+01,-2.392821667432567731e-02
3.941100000000000136e+01,1.383499999999999943e+02,6.689799999999999613e+01,1.991221498501498377e-03
2.460600000000000023e+02,2.372599999999999909e+02,6.676500000000000057e+01,-2.000750945854145799e-02
1.788700000000000045e+02,1.494099999999999966e+02,7.571599999999999397e+01,-3.756756642357641889e-03
2.201699999999999875e+02,6.814499999999999780e+00,6.827700000000000102e+01,-2.209148843756243707e-02
2.240699999999999932e+02,2.247500000000000000e+02,6.974699999999999989e+01,-1.915244900899101127e-02
1.419299999999999962e+01,2.275099999999999909e+02,6.698999999999999488e+01,-8.857466793206796507e-04
6.548000000000000398e+01,1.227800000000000011e+02,6.928100000000000591e+01,-6.231927486193806522e-03
2.485900000000000034e+02,8.593899999999999650e+00,6.648900000000000432e+01,-1.618036417682317679e-02
2.367800000000000011e+02,1.118900000000000006e+02,6.559099999999999397e+01,-7.898654209790207520e-03
1.271099999999999994e+02,8.720399999999999352e+01,7.908700000000000330e+01,2.303586648351648673e-03
2.409499999999999886e+02,1.389700000000000024e+01,6.904699999999999704e+01,-1.353753784215784225e-02
2.186399999999999864e+02,1.515300000000000047e+01,6.928900000000000148e+01,-1.290379887312687220e-02
1.566399999999999864e+02,7.520300000000000296e+01,7.929399999999999693e+01,-3.059895350049948639e-03
2.435200000000000102e+02,2.017899999999999920e+02,6.660200000000000387e+01,-5.144144604395605412e-04
2.507500000000000000e+02,1.616599999999999966e+02,6.523600000000000421e+01,-1.174379153846153920e-02
5.124699999999999989e+01,1.663100000000000023e+01,6.371099999999999852e+01,-7.802375517782217558e-03
1.249399999999999977e+02,6.926099999999999568e+01,7.623499999999999943e+01,2.128258472527472071e-03
1.915000000000000000e+02,2.505800000000000125e+02,7.476000000000000512e+01,6.227258441558438306e-05
